platform,method,runningTime,width,height
OpenCL,Otsu,1.58888,1920,1080
OpenCL,Otsu,1.53947,1920,1080
OpenCL,Otsu,1.5336,1920,1080
OpenCL,Otsu,1.53414,1920,1080
OpenCL,Otsu,1.5403,1920,1080
OpenCL,Otsu,1.55686,1920,1080
OpenCL,Otsu,1.53438,1920,1080
OpenCL,Otsu,1.54856,1920,1080
OpenCL,Otsu,1.57621,1920,1080
OpenCL,Otsu,1.54081,1920,1080
OpenCL,Otsu,1.55243,1920,1080
OpenCL,Otsu,1.54384,1920,1080
OpenCL,Otsu,1.57203,1920,1080
OpenCL,Otsu,1.61231,1920,1080
OpenCL,Otsu,1.53705,1920,1080
OpenCL,Otsu,1.70014,1920,1080
OpenCL,Otsu,1.53805,1920,1080
OpenCL,Otsu,1.56328,1920,1080
OpenCL,Otsu,1.74734,1920,1080
OpenCL,Otsu,1.53346,1920,1080
OpenCL,Otsu,1.53725,1920,1080
OpenCL,Otsu,1.53031,1920,1080
OpenCL,Otsu,1.54312,1920,1080
OpenCL,Otsu,1.55332,1920,1080
OpenCL,Otsu,1.53266,1920,1080
OpenCL,Otsu,1.53921,1920,1080
OpenCL,Otsu,1.54014,1920,1080
OpenCL,Otsu,1.53187,1920,1080
OpenCL,Otsu,1.54598,1920,1080
OpenCL,Otsu,1.54922,1920,1080
OpenCL,Otsu,1.54061,1920,1080
OpenCL,Otsu,1.53698,1920,1080
OpenCL,Otsu,1.53134,1920,1080
OpenCL,Otsu,1.54051,1920,1080
OpenCL,Otsu,1.55491,1920,1080
OpenCL,Otsu,1.53625,1920,1080
OpenCL,Otsu,1.6024,1920,1080
OpenCL,Otsu,1.60781,1920,1080
OpenCL,Otsu,1.53877,1920,1080
OpenCL,Otsu,1.52685,1920,1080
OpenCL,Otsu,1.52942,1920,1080
OpenCL,Otsu,1.89725,1920,1080
OpenCL,Otsu,1.54055,1920,1080
OpenCL,Otsu,1.5775,1920,1080
OpenCL,Otsu,1.54347,1920,1080
OpenCL,Otsu,1.5551,1920,1080
OpenCL,Otsu,1.58104,1920,1080
OpenCL,Otsu,1.5371,1920,1080
OpenCL,Otsu,1.53925,1920,1080
OpenCL,Otsu,1.54581,1920,1080
OpenCL,Otsu,1.55602,1920,1080
OpenCL,Otsu,1.53025,1920,1080
OpenCL,Otsu,1.53289,1920,1080
OpenCL,Otsu,1.53499,1920,1080
OpenCL,Otsu,1.56398,1920,1080
OpenCL,Otsu,1.55048,1920,1080
OpenCL,Otsu,0.52866,632,461
OpenCL,Otsu,0.55507,632,461
OpenCL,Otsu,0.53409,632,461
OpenCL,Otsu,0.5427,632,461
OpenCL,Otsu,0.53717,632,461
OpenCL,Otsu,0.53182,632,461
OpenCL,Otsu,0.53203,632,461
OpenCL,Otsu,0.56895,632,461
OpenCL,Otsu,0.52747,632,461
OpenCL,Otsu,0.52102,632,461
OpenCL,Otsu,0.54027,632,461
OpenCL,Otsu,0.55173,632,461
OpenCL,Otsu,0.67406,632,461
OpenCL,Otsu,0.52644,632,461
OpenCL,Otsu,0.52591,632,461
OpenCL,Otsu,0.56935,632,461
OpenCL,Otsu,0.59453,632,461
OpenCL,Otsu,0.51602,632,461
OpenCL,Otsu,0.53205,632,461
OpenCL,Otsu,0.59349,632,461
OpenCL,Otsu,0.56433,632,461
OpenCL,Otsu,0.53093,632,461
OpenCL,Otsu,0.58837,632,461
OpenCL,Otsu,0.54754,632,461
OpenCL,Otsu,0.54875,632,461
OpenCL,Otsu,0.53564,632,461
OpenCL,Otsu,0.52655,632,461
OpenCL,Otsu,0.53417,632,461
OpenCL,Otsu,0.52588,632,461
OpenCL,Otsu,0.51326,632,461
OpenCL,Otsu,0.56779,632,461
OpenCL,Otsu,0.54414,632,461
OpenCL,Otsu,0.56386,632,461
OpenCL,Otsu,0.54334,632,461
OpenCL,Otsu,0.52467,632,461
OpenCL,Otsu,0.55186,632,461
OpenCL,Otsu,0.55137,632,461
OpenCL,Otsu,0.53494,632,461
OpenCL,Otsu,0.52386,632,461
OpenCL,Otsu,0.55752,632,461
OpenCL,Otsu,0.52862,632,461
OpenCL,Otsu,0.55933,632,461
OpenCL,Otsu,0.55041,632,461
OpenCL,Otsu,0.54223,632,461
OpenCL,Otsu,0.5276,632,461
OpenCL,Otsu,0.53003,632,461
OpenCL,Otsu,0.51665,632,461
OpenCL,Otsu,0.53695,632,461
OpenCL,Otsu,0.53314,632,461
OpenCL,Otsu,0.5347,632,461
OpenCL,Otsu,0.52041,632,461
OpenCL,Otsu,0.8161,632,461
OpenCL,Otsu,0.53181,632,461
OpenCL,Otsu,0.54551,632,461
OpenCL,Otsu,0.52594,632,461
OpenCL,Otsu,0.56624,632,461
OpenCL,Otsu,0.54465,632,461
OpenCL,Otsu,0.54467,632,461
OpenCL,Otsu,0.52072,632,461
OpenCL,Otsu,0.56492,632,461
OpenCL,Otsu,0.52713,632,461
OpenCL,Otsu,0.57403,632,461
OpenCL,Otsu,0.51748,632,461
OpenCL,Otsu,0.54076,632,461
OpenCL,Otsu,0.52609,632,461
OpenCL,Otsu,0.52578,632,461
OpenCL,Otsu,0.5539,632,461
OpenCL,Otsu,0.5612,632,461
OpenCL,Otsu,0.53851,632,461
OpenCL,Otsu,0.57152,632,461
OpenCL,Otsu,0.5473,632,461
OpenCL,Otsu,0.5634,632,461
OpenCL,Otsu,0.5258,632,461
OpenCL,Otsu,0.52989,632,461
OpenCL,Otsu,0.562,632,461
OpenCL,Otsu,0.55794,632,461
OpenCL,Otsu,0.53024,632,461
OpenCL,Otsu,0.53889,632,461
OpenCL,Otsu,0.52124,632,461
OpenCL,Otsu,0.5319,632,461
OpenCL,Otsu,0.52261,632,461
OpenCL,Otsu,0.52701,632,461
OpenCL,Otsu,0.53953,632,461
OpenCL,Otsu,0.53076,632,461
OpenCL,Otsu,0.53284,632,461
OpenCL,Otsu,0.52502,632,461
OpenCL,Otsu,0.52753,632,461
OpenCL,Otsu,0.53514,632,461
OpenCL,Otsu,0.55934,632,461
OpenCL,Otsu,0.56428,632,461
OpenCL,Otsu,0.53818,632,461
OpenCL,Otsu,0.5485,632,461
OpenCL,Otsu,0.55296,632,461
OpenCL,Otsu,0.52428,632,461
OpenCL,Otsu,0.52407,632,461
OpenCL,Otsu,0.57786,632,461
OpenCL,Otsu,0.5989,632,461
OpenCL,Otsu,0.52908,632,461
OpenCL,Otsu,0.52258,632,461
OpenCL,Otsu,0.52337,632,461
Matlab,Otsu,10.8959,3840,2160
Matlab,Otsu,8.1557,3840,2160
Matlab,Otsu,5.2148,3840,2160
Matlab,Otsu,5.0488,3840,2160
Matlab,Otsu,5.6895,3840,2160
Matlab,Otsu,5.2447,3840,2160
Matlab,Otsu,5.3508,3840,2160
Matlab,Otsu,5.6238,3840,2160
Matlab,Otsu,5.5856,3840,2160
Matlab,Otsu,5.024,3840,2160
Matlab,Otsu,5.2294,3840,2160
Matlab,Otsu,5.3544,3840,2160
Matlab,Otsu,5.3585,3840,2160
Matlab,Otsu,4.8424,3840,2160
Matlab,Otsu,5.3079,3840,2160
Matlab,Otsu,5.7091,3840,2160
Matlab,Otsu,5.6246,3840,2160
Matlab,Otsu,4.891,3840,2160
Matlab,Otsu,4.9885,3840,2160
Matlab,Otsu,5.2715,3840,2160
Matlab,Otsu,4.9808,3840,2160
Matlab,Otsu,5.2554,3840,2160
Matlab,Otsu,4.9144,3840,2160
Matlab,Otsu,4.9281,3840,2160
Matlab,Otsu,5.0086,3840,2160
Matlab,Otsu,5.5786,3840,2160
Matlab,Otsu,6.3259,3840,2160
Matlab,Otsu,5.7227,3840,2160
Matlab,Otsu,5.2538,3840,2160
Matlab,Otsu,5.2062,3840,2160
Matlab,Otsu,5.2146,3840,2160
Matlab,Otsu,5.4092,3840,2160
Matlab,Otsu,5.3987,3840,2160
Matlab,Otsu,4.8794,3840,2160
Matlab,Otsu,4.9585,3840,2160
Matlab,Otsu,5.3672,3840,2160
Matlab,Otsu,5.0009,3840,2160
Matlab,Otsu,5.1452,3840,2160
Matlab,Otsu,5.2936,3840,2160
Matlab,Otsu,4.8723,3840,2160
Matlab,Otsu,4.9975,3840,2160
Matlab,Otsu,5.1143,3840,2160
Matlab,Otsu,5.2887,3840,2160
Matlab,Otsu,5.0163,3840,2160
Matlab,Otsu,5.5333,3840,2160
Matlab,Otsu,5.1708,3840,2160
Matlab,Otsu,5.1498,3840,2160
Matlab,Otsu,4.9147,3840,2160
Matlab,Otsu,4.9768,3840,2160
Matlab,Otsu,4.8431,3840,2160
Matlab,Otsu,5.1068,3840,2160
Matlab,Otsu,4.9314,3840,2160
Matlab,Otsu,4.9131,3840,2160
Matlab,Otsu,4.901,3840,2160
Matlab,Otsu,5.1778,3840,2160
Matlab,Otsu,5.3657,3840,2160
Matlab,Otsu,5.3568,3840,2160
Matlab,Otsu,5.3337,3840,2160
Matlab,Otsu,5.1331,3840,2160
Matlab,Otsu,5.1343,3840,2160
Matlab,Otsu,5.0162,3840,2160
Matlab,Otsu,5.1473,3840,2160
Matlab,Otsu,4.8868,3840,2160
Matlab,Otsu,4.9887,3840,2160
Matlab,Otsu,5.3338,3840,2160
Matlab,Otsu,5.2186,3840,2160
Matlab,Otsu,4.9129,3840,2160
Matlab,Otsu,6.6573,3840,2160
Matlab,Otsu,5.1835,3840,2160
Matlab,Otsu,4.9504,3840,2160
Matlab,Otsu,4.8447,3840,2160
Matlab,Otsu,5.0761,3840,2160
Matlab,Otsu,5.0868,3840,2160
Matlab,Otsu,5.2422,3840,2160
Matlab,Otsu,5.2813,3840,2160
Matlab,Otsu,4.9023,3840,2160
Matlab,Otsu,5.0502,3840,2160
Matlab,Otsu,5.3279,3840,2160
Matlab,Otsu,5.511,3840,2160
Matlab,Otsu,5.0014,3840,2160
Matlab,Otsu,4.8808,3840,2160
Matlab,Otsu,5.0244,3840,2160
Matlab,Otsu,5.2813,3840,2160
Matlab,Otsu,5.7004,3840,2160
Matlab,Otsu,5.4989,3840,2160
Matlab,Otsu,5.613,3840,2160
Matlab,Otsu,5.1888,3840,2160
Matlab,Otsu,5.2332,3840,2160
Matlab,Otsu,4.9864,3840,2160
Matlab,Otsu,4.9785,3840,2160
Matlab,Otsu,5.0156,3840,2160
Matlab,Otsu,4.9075,3840,2160
Matlab,Otsu,5.5459,3840,2160
Matlab,Otsu,5.5031,3840,2160
Matlab,Otsu,4.8595,3840,2160
Matlab,Otsu,5.0645,3840,2160
Matlab,Otsu,5.0209,3840,2160
Matlab,Otsu,4.9963,3840,2160
Matlab,Otsu,5.2169,3840,2160
Matlab,Otsu,5.016,3840,2160
Matlab,Otsu,1.9581,1920,1080
Matlab,Otsu,1.4922,1920,1080
Matlab,Otsu,1.4944,1920,1080
Matlab,Otsu,1.4487,1920,1080
Matlab,Otsu,1.5507,1920,1080
Matlab,Otsu,1.2888,1920,1080
Matlab,Otsu,1.2669,1920,1080
Matlab,Otsu,1.266,1920,1080
Matlab,Otsu,1.3779,1920,1080
Matlab,Otsu,1.43,1920,1080
Matlab,Otsu,1.4537,1920,1080
Matlab,Otsu,1.2816,1920,1080
Matlab,Otsu,1.3099,1920,1080
