platform,method,runningTime,width,height
OpenCL,random_dithering,4.52042,3840,2160
OpenCL,random_dithering,4.41652,3840,2160
OpenCL,random_dithering,4.36137,3840,2160
OpenCL,random_dithering,4.44181,3840,2160
OpenCL,random_dithering,4.49073,3840,2160
OpenCL,random_dithering,4.45989,3840,2160
OpenCL,random_dithering,4.61087,3840,2160
OpenCL,random_dithering,4.52006,3840,2160
OpenCL,random_dithering,4.47761,3840,2160
OpenCL,random_dithering,4.49885,3840,2160
OpenCL,random_dithering,4.54256,3840,2160
OpenCL,random_dithering,4.45333,3840,2160
OpenCL,random_dithering,4.52797,3840,2160
OpenCL,random_dithering,4.51028,3840,2160
OpenCL,random_dithering,4.45099,3840,2160
OpenCL,random_dithering,4.50066,3840,2160
OpenCL,random_dithering,4.34358,3840,2160
OpenCL,random_dithering,4.86273,3840,2160
OpenCL,random_dithering,5.52505,3840,2160
OpenCL,random_dithering,5.27391,3840,2160
OpenCL,random_dithering,4.45491,3840,2160
OpenCL,random_dithering,4.4509,3840,2160
OpenCL,random_dithering,4.36451,3840,2160
OpenCL,random_dithering,4.5903,3840,2160
OpenCL,random_dithering,4.66135,3840,2160
OpenCL,random_dithering,4.47781,3840,2160
OpenCL,random_dithering,4.5106,3840,2160
OpenCL,random_dithering,0.37706,632,461
OpenCL,random_dithering,0.36968,632,461
OpenCL,random_dithering,0.37092,632,461
OpenCL,random_dithering,0.36688,632,461
OpenCL,random_dithering,0.39035,632,461
OpenCL,random_dithering,0.3622,632,461
OpenCL,random_dithering,0.36112,632,461
OpenCL,random_dithering,0.38095,632,461
OpenCL,random_dithering,0.37542,632,461
OpenCL,random_dithering,0.3637,632,461
OpenCL,random_dithering,0.38834,632,461
OpenCL,random_dithering,0.38792,632,461
OpenCL,random_dithering,0.38705,632,461
OpenCL,random_dithering,0.37027,632,461
OpenCL,random_dithering,0.36951,632,461
OpenCL,random_dithering,0.36836,632,461
OpenCL,random_dithering,0.39715,632,461
OpenCL,random_dithering,0.36483,632,461
OpenCL,random_dithering,0.3871,632,461
OpenCL,random_dithering,0.37131,632,461
OpenCL,random_dithering,0.37052,632,461
OpenCL,random_dithering,0.36401,632,461
OpenCL,random_dithering,0.36746,632,461
OpenCL,random_dithering,0.38536,632,461
OpenCL,random_dithering,0.39713,632,461
OpenCL,random_dithering,0.38343,632,461
OpenCL,random_dithering,0.37441,632,461
OpenCL,random_dithering,0.39155,632,461
OpenCL,random_dithering,0.38655,632,461
OpenCL,random_dithering,0.36638,632,461
OpenCL,random_dithering,0.36221,632,461
OpenCL,random_dithering,0.36839,632,461
OpenCL,random_dithering,0.38921,632,461
OpenCL,random_dithering,0.36597,632,461
OpenCL,random_dithering,0.36589,632,461
OpenCL,random_dithering,0.36516,632,461
OpenCL,random_dithering,0.36123,632,461
OpenCL,random_dithering,0.36046,632,461
OpenCL,random_dithering,0.37336,632,461
OpenCL,random_dithering,0.36768,632,461
OpenCL,random_dithering,0.35797,632,461
OpenCL,random_dithering,0.36551,632,461
OpenCL,random_dithering,0.37407,632,461
OpenCL,random_dithering,0.36891,632,461
OpenCL,random_dithering,0.36949,632,461
OpenCL,random_dithering,0.36461,632,461
OpenCL,random_dithering,0.36585,632,461
OpenCL,random_dithering,0.36202,632,461
OpenCL,random_dithering,0.42918,632,461
OpenCL,random_dithering,0.36611,632,461
OpenCL,random_dithering,0.36745,632,461
OpenCL,random_dithering,0.3769,632,461
OpenCL,random_dithering,0.37526,632,461
OpenCL,random_dithering,0.36403,632,461
OpenCL,random_dithering,0.37289,632,461
OpenCL,random_dithering,0.36217,632,461
OpenCL,random_dithering,0.36892,632,461
OpenCL,random_dithering,0.35662,632,461
OpenCL,random_dithering,0.36323,632,461
OpenCL,random_dithering,0.37351,632,461
OpenCL,random_dithering,0.36979,632,461
OpenCL,random_dithering,0.39308,632,461
OpenCL,random_dithering,0.38907,632,461
OpenCL,random_dithering,0.38365,632,461
OpenCL,random_dithering,0.3975,632,461
OpenCL,random_dithering,0.41084,632,461
OpenCL,random_dithering,0.38301,632,461
OpenCL,random_dithering,0.38552,632,461
OpenCL,random_dithering,0.39179,632,461
OpenCL,random_dithering,0.36171,632,461
OpenCL,random_dithering,0.385,632,461
OpenCL,random_dithering,0.35986,632,461
OpenCL,random_dithering,0.39576,632,461
OpenCL,random_dithering,0.35065,632,461
OpenCL,random_dithering,0.36107,632,461
OpenCL,random_dithering,0.46588,632,461
OpenCL,random_dithering,0.3583,632,461
OpenCL,random_dithering,0.35272,632,461
OpenCL,random_dithering,0.35386,632,461
OpenCL,random_dithering,0.35715,632,461
OpenCL,random_dithering,0.35652,632,461
OpenCL,random_dithering,0.35748,632,461
OpenCL,random_dithering,0.35974,632,461
OpenCL,random_dithering,0.3626,632,461
OpenCL,random_dithering,0.35813,632,461
OpenCL,random_dithering,0.34998,632,461
OpenCL,random_dithering,0.38168,632,461
OpenCL,random_dithering,0.36435,632,461
OpenCL,random_dithering,0.35166,632,461
OpenCL,random_dithering,0.36774,632,461
OpenCL,random_dithering,0.36405,632,461
OpenCL,random_dithering,0.35811,632,461
OpenCL,random_dithering,0.36441,632,461
OpenCL,random_dithering,0.35937,632,461
OpenCL,random_dithering,0.36205,632,461
OpenCL,random_dithering,0.35939,632,461
OpenCL,random_dithering,0.36358,632,461
OpenCL,random_dithering,0.35565,632,461
OpenCL,random_dithering,0.36216,632,461
OpenCL,random_dithering,0.37229,632,461
OpenCL,random_dithering,1.3661,1920,1080
OpenCL,random_dithering,1.3917,1920,1080
OpenCL,random_dithering,1.41023,1920,1080
OpenCL,random_dithering,1.52251,1920,1080
OpenCL,random_dithering,1.37023,1920,1080
OpenCL,random_dithering,1.43399,1920,1080
OpenCL,random_dithering,1.36764,1920,1080
OpenCL,random_dithering,1.43539,1920,1080
OpenCL,random_dithering,1.42288,1920,1080
OpenCL,random_dithering,1.41933,1920,1080
OpenCL,random_dithering,1.36254,1920,1080
OpenCL,random_dithering,1.39006,1920,1080
OpenCL,random_dithering,1.44153,1920,1080
OpenCL,random_dithering,1.36662,1920,1080
OpenCL,random_dithering,1.36096,1920,1080
OpenCL,random_dithering,1.51236,1920,1080
OpenCL,random_dithering,1.39528,1920,1080
OpenCL,random_dithering,1.3986,1920,1080
OpenCL,random_dithering,1.52614,1920,1080
OpenCL,random_dithering,1.35682,1920,1080
OpenCL,random_dithering,1.35213,1920,1080
OpenCL,random_dithering,1.38347,1920,1080
OpenCL,random_dithering,1.41107,1920,1080
OpenCL,random_dithering,1.39517,1920,1080
OpenCL,random_dithering,1.37744,1920,1080
OpenCL,random_dithering,1.36022,1920,1080
OpenCL,random_dithering,1.28696,1920,1080
OpenCL,random_dithering,1.35732,1920,1080
OpenCL,random_dithering,1.35594,1920,1080
OpenCL,random_dithering,1.35479,1920,1080
OpenCL,random_dithering,1.3675,1920,1080
OpenCL,random_dithering,1.33433,1920,1080
OpenCL,random_dithering,1.4104,1920,1080
OpenCL,random_dithering,1.53414,1920,1080
OpenCL,random_dithering,1.26951,1920,1080
OpenCL,random_dithering,1.84393,1920,1080
OpenCL,random_dithering,1.38716,1920,1080
